year,program_group,university,avg_ege_paid,ege_change_prev_year,enrolled_paid,cost_of_education_rub,avg_ege_budget,enrolled_budget,ege_excludes_individual,gdp_per_capita_usd,gdp_usd_billion,gdp_rub_billion,inflation_rate_percent,mrot_rub,avg_salary_rub,real_salary_growth_percent,cpi_index,base_cpi,base_inflation_percent,gdp_deflator,population_million,unemployment_rate_percent
2024,Политология,"Академия труда и социальных отношений, г. Москва",59.5,0.2,2,210.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,"Академия труда и социальных отношений, г. Москва",47.9,-10.8,7,210.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Академия труда и социальных отношений, г. Москва",57.6,-6.8,32,230.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Академия труда и социальных отношений, г. Москва",51.2,-4.2,15,210.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Академия управления и производства, г. Москва",58.5,-3.7,24,120.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Академия управления и производства, г. Москва",62.1,-0.8,24,120.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Академия управления и производства, г. Москва",79.7,11.0,3,120.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Академия управления и производства, г. Москва",60.3,0.2,9,126.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,"Академия управления и производства, г. Москва",61.0,-0.3,11,120.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Здравоохранение,"Алтайский гос. медицинский ун-т., г. Барнаул",57.2,-0.1,182,196.4,67.1,720,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,"Алтайский гос. медицинский ун-т., г. Барнаул",55.8,-4.5,27,133.3,71.2,15,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Физическая культура,"Алтайский гос. педагогический ун-т., г. Барнаул",46.5,0.2,3,160.6,68.0,19,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Алтайский гос. педагогический ун-т., г. Барнаул",46.1,0.2,2,132.1,56.3,29,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психолого-педагогическое и специальное (дефектологическое) образование,"Алтайский гос. педагогический ун-т., г. Барнаул",48.7,-0.9,8,115.6,62.8,108,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,"Алтайский гос. педагогический ун-т., г. Барнаул",53.8,0.2,88,115.6,61.9,593,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,"Алтайский гос. педагогический ун-т., г. Барнаул",55.5,-3.1,10,124.6,80.5,9,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Приборостроение и оптотехника,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",45.0,0.2,2,140.0,62.6,55,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Строительство,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",46.9,0.2,3,140.0,61.6,111,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Дизайн,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",71.6,10.1,13,230.0,90.7,1,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информационная безопасность,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",50.0,-10.8,11,135.0,70.1,69,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",58.8,-5.0,12,140.0,56.0,26,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Архитектура и градостроительство,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",57.7,7.1,10,140.0,73.9,60,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",53.9,-4.8,43,135.0,72.5,192,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",56.6,-2.7,26,140.0,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Технологии легкой промышленности,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",63.3,0.2,3,140.0,72.0,15,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,"Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул",56.0,-2.4,6,140.0,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,"Алтайский гос. ун-т., г. Барнаул",64.6,1.3,22,118.6,83.2,12,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Геодезия и землеустройство,"Алтайский гос. ун-т., г. Барнаул",47.7,-1.0,2,143.1,74.9,25,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Востоковедение и африканистика,"Алтайский гос. ун-т., г. Барнаул",59.1,0.2,9,120.4,80.6,14,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Социология,"Алтайский гос. ун-т., г. Барнаул",54.4,-7.0,4,111.6,73.1,30,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Алтайский гос. ун-т., г. Барнаул",59.5,-3.2,189,160.5,86.3,34,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Здравоохранение,"Алтайский гос. ун-т., г. Барнаул",48.7,-8.7,2,130.5,68.1,25,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Алтайский гос. ун-т., г. Барнаул",57.4,-5.1,41,138.7,77.8,31,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Филология,"Алтайский гос. ун-т., г. Барнаул",58.9,-17.8,4,111.6,81.9,12,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Журналистика и литературное творчество,"Алтайский гос. ун-т., г. Барнаул",58.8,-3.7,39,122.8,81.7,11,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Библиотеки и архивы,"Алтайский гос. ун-т., г. Барнаул",56.5,3.1,3,111.6,69.5,13,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Алтайский гос. ун-т., г. Барнаул",56.4,6.5,3,130.5,68.8,232,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,"Алтайский гос. ун-т., г. Барнаул",57.2,-2.1,38,121.8,77.0,35,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,История,"Алтайский гос. ун-т., г. Барнаул",63.0,1.6,3,111.6,74.7,24,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Алтайский гос. ун-т., г. Барнаул",58.3,-4.2,22,150.0,77.4,22,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Политология,"Алтайский гос. ун-т., г. Барнаул",51.3,-14.9,2,111.6,72.2,23,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Международные отношения,"Алтайский гос. ун-т., г. Барнаул",62.0,-1.1,56,120.4,81.8,22,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Сфера обслуживания,"Алтайский гос. ун-т., г. Барнаул",59.7,1.4,9,113.2,72.2,60,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Социальная работа,"Алтайский гос. ун-т., г. Барнаул",60.0,-1.7,2,111.6,63.3,45,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,"Алтайский гос. ун-т., г. Барнаул",57.2,-4.1,18,150.0,74.8,20,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лесное дело,"Алтайский гос. ун-т., г. Барнаул",59.2,7.0,3,130.5,71.2,25,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психолого-педагогическое и специальное (дефектологическое) образование,"Алтайский гос. ун-т., г. Барнаул",49.1,-12.9,2,118.6,68.8,65,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,"Алтайский гос. ун-т., г. Барнаул",60.0,-5.3,65,125.4,83.1,26,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Профессиональное обучение,"Алтайский гос. ун-т., г. Барнаул",56.6,-0.9,26,111.6,73.6,20,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,Алтайский ин-т. экономики – филиал Санкт-Петербургского ун-т.а технологий управления и экономики,62.4,0.2,20,120.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,Алтайский филиал РАНХиГС,67.3,4.2,60,165.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,Алтайский филиал РАНХиГС,58.4,4.7,6,160.5,71.4,14,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,Алтайский филиал РАНХиГС,61.5,-1.7,134,184.4,85.0,11,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,Алтайский филиал РАНХиГС,60.2,2.5,25,160.5,73.1,14,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,Алтайский филиал РАНХиГС,61.6,1.2,51,170.5,79.0,14,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,Алтайский филиал Финансового ун-т.а при Правительстве РФ,48.4,3.5,6,147.0,54.2,25,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,Алтайский филиал Финансового ун-т.а при Правительстве РФ,52.9,-1.7,28,127.1,72.9,17,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,Алтайский филиал Финансового ун-т.а при Правительстве РФ,53.6,-0.4,16,127.1,65.7,7,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Бизнес-информатика,"Альметьевский гос. технол. ун-т. ""Высшая школа нефти""",66.9,3.0,4,173.0,79.2,22,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Альметьевский гос. технол. ун-т. ""Высшая школа нефти""",66.5,0.6,13,152.9,79.7,25,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Нефтегазовое дело,"Альметьевский гос. технол. ун-т. ""Высшая школа нефти""",53.5,-1.2,2,205.0,71.0,99,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Альметьевский гос. технол. ун-т. ""Высшая школа нефти""",67.9,1.0,11,152.9,78.8,25,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Здравоохранение,"Амурская гос. медицинская академия, г. Благовещенск",50.1,-0.6,69,193.3,60.0,309,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,"Амурский гос. ун-т., г. Благовещенск",63.3,14.5,40,183.4,61.3,69,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,"Амурский гос. ун-т., г. Благовещенск",59.0,4.8,3,183.4,76.6,11,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Амурский гос. ун-т., г. Благовещенск",52.5,-1.2,2,183.4,69.7,8,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Международные отношения,"Амурский гос. ун-т., г. Благовещенск",66.4,16.4,13,183.4,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Амурский гос. ун-т., г. Благовещенск",39.3,-5.3,18,198.2,66.2,50,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,"Амурский гос. ун-т., г. Благовещенск",56.4,0.2,5,183.4,63.5,8,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Амурский гос. ун-т., г. Благовещенск",59.1,0.3,58,183.4,67.5,11,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Сфера обслуживания,"Амурский гос. ун-т., г. Благовещенск",50.3,8.6,3,183.4,61.5,40,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Амурский гос. ун-т., г. Благовещенск",50.0,-6.8,13,183.4,73.2,31,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Дизайн,"Амурский гуманитарно-педагогический гос. ун-т., г. Комсомольск-на-Амуре",73.1,0.2,3,323.5,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,Анапский филиал Московского педагогического государственного ун-т.а,54.3,-11.5,10,134.0,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,Анапский филиал Московского педагогического государственного ун-т.а,62.0,0.2,12,134.0,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,Анапский филиал Московского педагогического государственного ун-т.а,60.8,-8.0,11,134.0,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,Арктический гос. агротехнол. ун-т.,51.7,0.2,30,287.8,74.6,0,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,Арктический гос. агротехнол. ун-т.,46.9,0.2,7,319.1,55.6,15,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,Армавирский гос. педагогический ун-т.,51.8,-8.5,8,134.7,60.1,471,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,Астраханский гос. медицинский ун-т.,53.4,-3.4,8,130.0,70.3,4,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Здравоохранение,Астраханский гос. медицинский ун-т.,55.8,-4.6,222,167.5,65.9,363,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Сфера обслуживания,Астраханский гос. техн. ун-т.,53.8,-0.9,6,130.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,Астраханский гос. техн. ун-т.,54.3,-3.8,45,130.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Нефтегазовое дело,Астраханский гос. техн. ун-т.,44.1,-7.8,10,178.0,70.8,30,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,Астраханский гос. техн. ун-т.,57.5,5.4,9,130.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Автоматика и управление,Астраханский гос. техн. ун-т.,46.1,-2.9,2,148.0,61.9,20,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,"Электронная техника, радиотехника и связь",Астраханский гос. техн. ун-т.,49.2,0.2,2,148.0,53.3,29,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Архитектура и градостроительство,Астраханский гос. техн. ун-т.,47.5,-2.1,9,148.0,67.1,24,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Транспортные средства,Астраханский гос. техн. ун-т.,35.7,0.2,3,148.0,47.9,24,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информационная безопасность,Астраханский гос. техн. ун-т.,50.4,-1.5,13,148.0,68.0,43,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,Астраханский гос. техн. ун-т.,49.0,-2.2,13,148.0,68.2,70,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,Астраханский гос. техн. ун-т.,50.4,-4.2,60,130.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Бизнес-информатика,Астраханский гос. техн. ун-т.,56.1,0.9,8,130.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Востоковедение и африканистика,Астраханский гос. ун-т.,69.7,0.2,4,128.3,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,Астраханский гос. ун-т.,63.1,-1.8,58,128.3,78.9,10,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,Астраханский гос. ун-т.,59.2,-0.7,25,128.3,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Дизайн,Астраханский гос. ун-т.,69.6,9.7,5,256.2,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информационная безопасность,Астраханский гос. ун-т.,50.6,0.2,3,146.1,68.1,26,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Журналистика и литературное творчество,Астраханский гос. ун-т.,63.3,-3.8,18,128.3,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
